Frame,uiPartAddr,CU_X,CU_Y,CU_Height,CU_Width,MV_X,MV_Y
1,0,0,0,64,64,0,0
1,0,64,0,64,64,0,0
1,0,128,0,64,64,0,0
1,0,192,0,64,64,0,0
1,0,256,0,64,64,0,0
1,0,320,0,64,64,0,0
1,0,384,0,64,64,0,0
1,0,448,0,64,64,0,0
1,0,512,0,64,64,0,0
1,0,576,0,64,64,0,0
1,0,640,0,64,64,0,0
1,0,704,0,64,64,0,0
1,0,768,0,64,64,0,0
1,0,0,64,64,64,0,0
1,0,64,64,64,64,0,0
1,0,128,64,64,64,0,0
1,0,192,64,64,64,0,0
1,0,256,64,64,64,0,0
1,0,320,64,64,64,0,0
1,0,384,64,64,64,0,0
1,0,448,64,64,64,0,0
1,0,512,64,64,64,0,0
1,0,576,64,64,64,0,0
1,0,640,64,64,64,0,0
1,0,704,64,64,64,0,0
1,0,768,64,64,64,0,0
1,0,0,128,64,64,0,0
1,0,64,128,64,64,0,0
1,0,128,128,64,64,0,0
1,0,192,128,64,64,0,0
1,0,256,128,64,64,0,0
1,0,320,128,64,64,0,0
1,0,384,128,64,64,0,0
1,0,448,128,64,64,0,0
1,0,512,128,64,64,0,0
1,0,576,128,64,64,0,0
1,0,640,128,64,64,0,0
1,0,704,128,64,64,0,0
1,0,768,128,64,64,0,0
1,0,0,192,64,64,0,0
1,0,64,192,64,64,0,0
1,0,128,192,64,64,0,0
1,0,192,192,64,64,0,0
1,0,256,192,64,64,0,0
1,0,320,192,64,64,0,0
1,0,384,192,64,64,0,0
1,0,448,192,64,64,0,0
1,0,512,192,64,64,0,0
1,0,576,192,64,64,0,0
1,0,640,192,64,64,0,0
1,0,704,192,64,64,0,0
1,0,768,192,64,64,0,0
1,0,0,256,64,64,0,0
1,0,64,256,64,64,0,0
1,0,128,256,64,64,0,0
1,0,192,256,64,64,0,0
1,0,256,256,64,64,0,0
1,0,320,256,64,64,0,0
1,0,384,256,64,64,0,0
1,0,448,256,64,64,0,0
1,0,512,256,64,64,0,0
1,0,576,256,64,64,0,0
1,0,640,256,64,64,0,0
1,0,704,256,64,64,0,0
1,0,768,256,64,64,0,0
1,0,0,320,64,64,0,0
1,0,64,320,64,64,0,0
1,0,128,320,64,64,0,0
1,0,192,320,64,64,0,0
1,0,256,320,64,64,0,0
1,0,320,320,64,64,0,0
1,0,384,320,64,64,0,0
1,0,448,320,64,64,0,0
1,0,512,320,64,64,0,0
1,0,576,320,64,64,0,0
1,0,640,320,64,64,0,0
1,0,704,320,64,64,0,0
1,0,768,320,64,64,0,0
1,0,0,384,64,64,0,0
1,0,64,384,64,64,0,0
1,0,128,384,64,64,0,0
1,0,192,384,64,64,0,0
1,0,256,384,64,64,0,0
1,0,320,384,64,64,0,0
1,0,384,384,64,64,0,0
1,0,448,384,64,64,0,0
1,0,512,384,64,64,0,0
1,0,576,384,64,64,0,0
1,0,640,384,64,64,0,0
1,0,704,384,64,64,0,0
1,0,768,384,64,64,0,0
1,0,0,448,32,32,0,0
1,0,32,448,32,32,0,0
1,0,64,448,32,32,0,0
1,0,96,448,32,32,0,0
1,0,128,448,32,32,0,0
1,0,160,448,32,32,0,0
1,0,192,448,32,32,0,0
1,0,224,448,32,32,0,0
1,0,256,448,32,32,0,0
1,0,288,448,32,32,0,0
1,0,320,448,32,32,0,0
1,0,352,448,32,32,0,0
1,0,384,448,32,32,0,0
1,0,416,448,32,32,0,0
1,0,448,448,32,32,0,0
1,0,480,448,32,32,0,0
1,0,512,448,32,32,0,0
1,0,544,448,32,32,0,0
1,0,576,448,32,32,0,0
1,0,608,448,32,32,0,0
1,0,640,448,32,32,0,0
1,0,672,448,32,32,0,0
1,0,704,448,32,32,0,0
1,0,736,448,32,32,0,0
1,0,768,448,32,32,0,0
1,0,800,448,32,32,0,0
2,0,0,0,64,64,0,0
2,0,64,0,64,64,1,-1
2,0,128,0,24,32,0,-1
2,40,128,0,8,32,1,-1
2,0,160,0,16,16,0,0
2,0,176,0,16,16,0,0
2,0,160,16,16,16,1,-1
2,0,176,16,16,16,1,-1
2,0,128,32,32,24,0,0
2,20,128,32,32,8,1,-1
2,0,160,32,16,32,1,-1
2,32,160,32,16,32,1,1
2,0,192,0,16,16,0,0
2,0,208,0,16,16,0,0
2,0,192,16,16,16,1,-1
2,0,208,16,16,16,1,-1
2,0,224,0,16,16,0,0
2,0,240,0,16,16,0,0
2,0,224,16,16,16,1,-1
2,0,240,16,16,16,1,-1
2,0,192,32,16,16,1,-1
2,0,208,32,16,16,0,-1
2,0,192,48,16,16,1,-1
2,0,208,48,8,8,1,-1
2,0,216,48,8,8,0,-1
2,0,208,56,8,8,1,-1
2,0,216,56,8,8,1,-1
2,0,224,32,32,32,1,-1
2,0,256,0,32,16,0,-1
2,16,256,0,32,16,-1,0
2,0,288,0,24,32,0,-1
2,40,288,0,8,32,0,0
2,0,256,32,8,8,0,-1
2,0,264,32,8,8,0,-1
2,0,256,40,8,8,1,-1
2,0,264,40,8,8,1,-1
2,0,272,32,16,16,-1,0
2,0,256,48,16,16,1,-1
2,0,272,48,16,16,1,-1
2,0,288,32,32,32,-1,0
2,0,320,0,64,64,0,0
2,0,384,0,64,64,0,0
2,0,448,0,64,64,0,0
2,0,512,0,32,32,0,0
2,0,544,0,16,16,0,0
2,0,560,0,16,16,0,0
2,0,544,16,8,8,0,0
2,0,552,16,8,8,0,0
